place_id,place_name,review_id,reviewer_name,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,reviewer_url,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChdDSUhNMG9nS0VJQ0FnSUNWa3FHcjNBRRAB,Vivek Cr,3,,3 weeks ago,2023-12-06 21:45:26.959766,,,,0,12,,https://www.google.com/maps/contrib/103293886887604791041/reviews?entry=ttu,False,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChZDSUhNMG9nS0VJQ0FnSURsM3NmTkVnEAE,Teja Amarnath,4,Good,3 weeks ago,2023-12-06 21:45:26.964765,,,,0,30,,https://www.google.com/maps/contrib/110172811557003016562/reviews?entry=ttu,True,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChZDSUhNMG9nS0VJQ0FnSUNGdUliWGF3EAE,Dheerendra Gaurav,5,"WyzMindz is more than just a workplace; its a second home, where the commitment to employee well-being, continuous growth, and a strong sense of belonging make it a truly exceptional place to work.",a month ago,2023-11-27 21:45:26.967764,,,,0,3,,https://www.google.com/maps/contrib/106512430474471225764/reviews?entry=ttu,False,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChZDSUhNMG9nS0VJQ0FnSUQ1bjR6eFR3EAE,Sunita Puri,5,"The day Ive joined this organization, I wasnt quite sure what its gonna bring up to me and I came with the same mindset that I had in my last organization which was to be in your lane and complete every days monotonous, expected work. I never really felt the need to push myself out of the comfort zone and to learn something new. For me, its been such a inspiring experience since the time Ive joined and every days uncertainty is eventually teaching me something new in all aspects of my life. Seeing women of the organization handling and doing their work so graciously and confidently has been fascinating, looking forward it always. And the irony is whenever I second guess my calibre before doing something which  either I havent been accustomed to or havent done before, our supervisors are always there to motivate us and sort out things for us. And as Sachin Sir said-Agree to disagree This particular statement has been immensely helpful for me in reducing my overthinking, move forward and be mindful generally and professionally. So far its been a Wyz decision to join Wyzmindz.",2 months ago,2023-10-27 21:45:26.969765,,,,2,2,,https://www.google.com/maps/contrib/115526291721412307270/reviews?entry=ttu,False,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChZDSUhNMG9nS0VJQ0FnSUNGME42OEVnEAE,intekhab arif,5,The best thing I experienced here is light mantra which done every morning in our office is a best way to start the day.,2 months ago,2023-10-27 21:45:26.971765,,,,0,7,1,https://www.google.com/maps/contrib/110767281656043441287/reviews?entry=ttu,False,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChdDSUhNMG9nS0VJQ0FnSUNGb1BMS3lnRRAB,Ritambhara Pandey,5,,2 months ago,2023-10-27 21:45:26.973765,,,,0,1,,https://www.google.com/maps/contrib/110665502611428123960/reviews?entry=ttu,False,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChZDSUhNMG9nS0VJQ0FnSUNGd0x5NVV3EAE,Amit Verma,5,"I thoroughly enjoyed my time working at Wyzmindz. The company provided a stimulating and collaborative environment that allowed me to grow both professionally and personally. It was a rewarding experience, and I appreciated the opportunities and challenges that came with it.",2 months ago,2023-10-27 21:45:26.975765,,,,0,1,,https://www.google.com/maps/contrib/113122389899591820611/reviews?entry=ttu,False,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChdDSUhNMG9nS0VJQ0FnSUNGZ09fUXhRRRAB,Kritika Sharma,5,,2 months ago,2023-10-27 21:45:26.977765,,,,0,3,,https://www.google.com/maps/contrib/108385927362888261199/reviews?entry=ttu,False,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChZDSUhNMG9nS0VJQ0FnSUQ1bjRxWGJnEAE,Soni Goswami,5,,2 months ago,2023-10-27 21:45:26.980829,,,,0,2,,https://www.google.com/maps/contrib/105802521215140472069/reviews?entry=ttu,False,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChZDSUhNMG9nS0VJQ0FnSUQ1bi1MVUdnEAE,Madhuri parmar,5,,2 months ago,2023-10-27 21:45:26.984873,,,,0,1,,https://www.google.com/maps/contrib/105834991070767113749/reviews?entry=ttu,False,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChdDSUhNMG9nS0VJQ0FnSUQ1bl95d3JBRRAB,Aditya,5,,2 months ago,2023-10-27 21:45:27.549681,,,,0,3,,https://www.google.com/maps/contrib/104520299588967315022/reviews?entry=ttu,False,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChdDSUhNMG9nS0VJQ0FnSUQ1NzlYWmtRRRAB,deeksha singh,5,,2 months ago,2023-10-27 21:45:27.551772,,,,0,,,,,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChZDSUhNMG9nS0VJQ0FnSUQ1NzVyQktREAE,babita kumari,5,,2 months ago,2023-10-27 21:45:27.553779,,,,0,,,,,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChdDSUhNMG9nS0VJQ0FnSUQ1NzZTSTJBRRAB,SUDEEP KUMAR SHARMA,5,,2 months ago,2023-10-27 21:45:27.555782,,,,0,17,2,https://www.google.com/maps/contrib/101575554782880437658/reviews?entry=ttu,True,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChZDSUhNMG9nS0VJQ0FnSUQ1NzdEblVnEAE,The Rich Studios,5,Nice place to work with . Its a learning company,2 months ago,2023-10-27 21:45:27.557780,,,,0,2,,https://www.google.com/maps/contrib/102240756854195248294/reviews?entry=ttu,False,,
ChIJYZf0HXIVrjsRnjGnQ4DgDw4,Wyzmindz Solutions,ChdDSUhNMG9nS0VJQ0FnSUQ1emJQTW5nRRAB,AnKeSh KaPoOr,1,Its a totally fake company dont work with this type of company..,2 months ago,2023-10-27 21:45:27.559772,"Dear sir, We dont find your name in our employee database, client or visitor directory. Kindly let us know your concern. You may drop a mail with details to Hello@WyzMindz.com. We will be happy to help you. Best regards, Team WyzMindz",2 months ago,2023-10-27 21:45:27.559772,0,11,,https://www.google.com/maps/contrib/113994689229333961362/reviews?entry=ttu,True,,
